ts,ad_channel,device,region,campaign,spend_l7,pages_per_session,sessions_l30,time_on_site_s,pricing_views_l7,past_purchases,discount_flag,competitor_visits,converted
1/1/23 0:00,email,mobile,EU,brand,46.65788434510105,4.172070688517512,7,274.11172137994623,3,0,0,0,0
1/1/23 1:00,social,mobile,APAC,retargeting,628.1727781467982,3.566288751586251,6,177.21560187493685,1,1,0,1,1
1/1/23 2:00,email,mobile,LATAM,retargeting,325.68651737731545,4.264851359647129,5,218.46409185809756,5,0,0,0,1
1/1/23 3:00,display,tablet,NA,seasonal,440.7906277,4.039341164874086,6,289.2957173878568,1,1,0,0,0
1/1/23 4:00,search,mobile,NA,retargeting,922.2653700644366,3.7283012673372893,5,316.1579251737312,1,0,0,0,1
1/1/23 5:00,direct,mobile,APAC,nonbrand,281.61930986333874,3.552633961559596,5,264.5825206164225,0,1,0,0,0
1/1/23 6:00,email,desktop,APAC,seasonal,181.39098963476886,5.742759589957227,10,391.7410989017267,5,0,0,0,1
1/1/23 7:00,email,mobile,EU,seasonal,402.8179028794589,3.8977560376254603,4,205.1901367052821,2,0,0,0,0
1/1/23 8:00,search,mobile,NA,nonbrand,915.4326143804144,3.832405965861687,5,170.3196713279093,0,1,0,0,0
1/1/23 9:00,social,mobile,EU,nonbrand,499.2127539664873,4.422151756005873,2,313.1495364112509,0,0,0,0,0
1/1/23 10:00,social,desktop,APAC,brand,576.174399,3.6866032376754068,6,324.2868824591069,2,0,0,0,0
1/1/23 11:00,direct,mobile,NA,brand,379.2511623,4.208813585129951,4,297.8687830552348,1,2,0,0,1
1/1/23 12:00,display,mobile,NA,brand,495.7467206284052,3.3266821935750133,3,238.51629408609807,2,0,0,0,1
1/1/23 13:00,email,desktop,APAC,brand,483.27475309866895,3.8175707107240884,4,269.36791428852825,0,0,0,0,1
1/1/23 14:00,social,mobile,NA,seasonal,534.3066575083141,4.425715170904567,1,241.13420595423028,0,0,0,0,1
1/1/23 15:00,search,desktop,NA,retargeting,782.1121516258512,3.846986869,7,279.1350191,4,1,0,0,1
1/1/23 16:00,display,mobile,APAC,nonbrand,293.2205538308031,4.106312419707185,4,268.17105741600864,3,2,0,0,0
1/1/23 17:00,search,mobile,APAC,nonbrand,818.5931305514739,4.444601434692945,6,156.0449398552388,1,0,0,0,1
1/1/23 18:00,email,mobile,NA,nonbrand,212.74279557099675,3.7513373849536684,5,247.00681880421686,1,0,0,0,1
1/1/23 19:00,display,mobile,APAC,seasonal,280.67294246964923,4.335851711,4,197.31289819197744,0,1,0,0,0
1/1/23 20:00,email,desktop,EU,nonbrand,279.6612474407197,4.114530958200156,6,373.67054780915237,1,0,0,0,1
1/1/23 21:00,social,mobile,NA,nonbrand,756.3215438347647,5.854816175824482,3,366.6993720864968,0,0,0,0,0
1/1/23 22:00,direct,mobile,NA,brand,202.23488383123674,2.936707358294944,2,207.3702690784632,1,0,0,0,0
1/1/23 23:00,affiliate,desktop,EU,retargeting,352.52145029698977,5.458051761277682,5,412.46472575360286,0,0,0,0,1
